"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000000003.10",0,0,3.7,0,3.043,0,0,0,0
"ENSG00000000005.5",0,0,0,2.699,0,0,0,0,0
"ENSG00000000419.8",7.015,9.419,12.143,1.801,10.988,0,1.918,15.151,0
"ENSG00000000457.9",173.375,148.145,91.726,108.498,105.013,7.208,16.185,99.179,17.377
"ENSG00000000938.8",0,0,0,0,0,0,0,0,0
"ENSG00000000971.11",1,3,0,3.964,1,5.61,0,0,0
"ENSG00000001036.9",16.185,25.745,13.711,15.4,25.069,2.361,9.448,9.122,2.409
"ENSG00000001084.6",76.563,28.851,42.061,48.156,53.751,22.255,16.221,19.92,4.281
"ENSG00000001167.10",95.868,76.798,151.135,77.581,52.216,20.083,27.785,25.904,6.494
"ENSG00000001460.13",42.033,38.274,49.42,39.033,22.984,17.069,16.105,25.791,6.532
"ENSG00000001461.12",65.863,71.47,45.254,53.677,44.148,12.292,27.708,15.271,8.812
"ENSG00000001497.12",779.471,467.713,438.122,633.166,503.729,169.618,228.82,175.361,82.062
"ENSG00000001617.7",1.066,1.041,4.939,1.219,2,2,0,0,1
"ENSG00000001626.10",28.827,21,14.353,14.265,3.127,7.411,4,6,3
"ENSG00000001629.5",2812.633,2452.781,2521.232,2377.305,1855.751,576.729,668.295,959.184,433.156
"ENSG00000001630.11",19.532,24.882,29.572,5.043,33.476,11.445,8.26,4.113,3.784
"ENSG00000001631.10",362.654,293.245,406.877,376.774,324.859,45.489,83.4,183.235,110.224
"ENSG00000002016.12",91.434,99.703,109.74,98.178,54.915,28.649,29.497,37.011,18.016
"ENSG00000002079.8",0,0,0,0,0,0.725,0,0,0
"ENSG00000002330.9",53.065,24.424,27.194,48.907,34.111,5.193,6.273,36.742,14.332
"ENSG00000002549.8",162.235,60.133,129.39,85.902,109.693,76.098,93.761,101.969,44.586
"ENSG00000002587.5",0,0,0,0,0,0,0,0,0
"ENSG00000002726.15",3,1,1.753,3,3.27,0,2,0,0
"ENSG00000002746.10",41.671,55.977,27.161,31.521,15.231,15.162,15.322,4.093,10.56
"ENSG00000002822.11",137.486,62.892,124.815,3.136,208.437,62.77,32.159,46.465,29.978
"ENSG00000002834.13",1332.157,767.205,838.191,1468.748,660.448,187.483,176.377,1095.769,260.416
"ENSG00000002919.10",59.805,27.916,63.938,54.172,68.829,17.2,13.384,28.458,13.051
"ENSG00000002933.3",11.735,9.782,16.978,1.347,14,3.837,4.819,0,0
"ENSG00000003056.3",915.017,274.119,622.469,948.815,660.851,287.663,181.815,647.513,279.01
"ENSG00000003096.9",20.348,10.269,7.023,17.527,18.73,9.624,9.781,0,5.309
"ENSG00000003137.4",113.948,706.384,400.001,133.478,19.419,51.991,5.2,5,0
"ENSG00000003147.13",67.486,44.811,34.98,31.652,37.552,17.293,14.052,23.972,33.819
"ENSG00000003249.9",9.752,1.322,10.391,8.801,0,0,1.296,1.594,1.414
"ENSG00000003393.10",90.737,47.856,39.686,58.055,42.753,16.562,14.478,22.471,2.743
"ENSG00000003400.10",4.031,0,5.07,4.008,2.023,0,1,1.002,0
"ENSG00000003402.15",91.915,72.503,33.872,30.408,52.602,19.144,19.759,86.367,27.875
"ENSG00000003436.10",2.371,0,6,4.717,0,3.036,0,25.151,2.246
"ENSG00000003509.11",444.082,235.913,245.129,374.005,274.498,88.422,79.56,145.361,95.93
"ENSG00000003756.12",4479.101,3197.549,3081.324,3833.313,4115.696,953.091,861.627,1393.555,990.426
"ENSG00000003987.9",107.584,111.473,132.093,53.464,50.737,26.955,30.611,3.239,8.472
"ENSG00000003989.12",0,0,51.477,12.658,0,35.69,0,0,0
"ENSG00000004059.6",278.707,201.077,213.216,356.376,181.685,103.109,43.134,125.151,38.504
"ENSG00000004139.9",47.292,13.316,24.11,24.766,22.417,4.184,6.837,11.098,2.257
"ENSG00000004399.8",218.181,68.367,145.227,159.113,78.372,31.166,23.534,97.498,25.244
"ENSG00000004455.12",481.78,190.018,371.395,290.404,38.328,141.665,111.771,369.859,225.139
"ENSG00000004468.8",0,0,3,0,0,4,2,1.745,0
"ENSG00000004478.5",619.551,390.316,589.655,306.166,250.453,177.554,110.458,286.648,191.732
"ENSG00000004487.11",926.312,603.77,965.784,595.426,769.145,239.57,159.455,234.595,108.309
"ENSG00000004534.10",901.76,647.2,786.151,847.099,670.83,169.524,165.775,292.184,133.742
"ENSG00000004660.10",29.023,20.025,27.166,20.788,16.59,12.795,8.196,14.883,2.572
"ENSG00000004700.11",0,0,0,0,0,4.588,0,4.525,3.374
"ENSG00000004766.11",659.099,463.826,499.038,486.084,598.406,168.914,148.559,162.547,193.862
"ENSG00000004776.7",0,0,0,0,0,0,0,0,0
"ENSG00000004777.14",7.205,14.172,11.863,16.521,4.613,1,2.217,1,1
"ENSG00000004779.5",65.215,53.863,49.481,27.16,46.469,13.239,16.108,25.849,7.937
"ENSG00000004799.7",1.212,0,1.072,0,4.15,0,1,1.036,0
"ENSG00000004809.9",13.106,3.131,11.641,5,4.221,7.265,2.514,0,1
"ENSG00000004838.9",3.318,3.254,4.668,11.989,9.862,4,1.157,0,0
"ENSG00000004846.12",1,0,1.233,0,0,0,0,0,0
"ENSG00000004864.9",88.885,21.14,69.981,104.204,34.662,19.264,13.436,25.297,11.854
"ENSG00000004866.14",920.715,760.103,638.34,761.069,1079.892,248.397,257.418,252.657,181.994
"ENSG00000004897.7",306.363,142.172,367.165,279.318,171.788,130.75,81.192,284.293,80.408
"ENSG00000004939.9",0,0,0,0,0,0,0,0,0
"ENSG00000004975.7",250.907,121.352,204.608,272.918,266.302,41.18,35.706,139.194,33.45
"ENSG00000005001.5",0,0,0,0,0,5,0,0,0
"ENSG00000005007.8",117.157,5.484,100.358,13.68,19.935,24.852,23.962,57.336,70.862
"ENSG00000005020.8",1.354,5.768,6.225,1.32,2.949,3.218,1.225,0,0
"ENSG00000005022.5",17.685,23.497,34.378,20.003,22.18,7.494,13.583,39.96,21.614
"ENSG00000005059.11",48.211,5.877,23.408,18.886,10.919,8.713,12.915,38.968,11.051
"ENSG00000005073.5",10,6,1,0,0,5,0,0,0
"ENSG00000005100.8",96.545,37.19,74.645,129.705,76.086,69.181,40.777,52.632,21.933
"ENSG00000005102.8",0,0,0,0,0,0,0,0,0
"ENSG00000005108.11",406.928,979.123,1372.645,493.404,993.072,211.072,400.817,71.714,39.112
"ENSG00000005156.7",456.505,165.198,552.2,432.117,527.632,126.449,108.754,320.6,102.722
"ENSG00000005175.5",2902.65,1309.17,2219.77,2025.947,1653.868,698.854,436.87,1498.247,903.11
"ENSG00000005187.7",89.968,51.33,105.807,53.21,82.945,19.624,26.514,22.603,9.601
"ENSG00000005189.15",48.304,15.285,18.015,18.187,24.831,10.97,17.773,5.715,9.25
"ENSG00000005194.10",408.048,180.295,347.322,242.019,341.546,83.767,55.956,118.452,96.316
"ENSG00000005206.12",193.701,54.235,218.195,169.115,227.478,17.234,29.268,31.358,19.575
"ENSG00000005238.15",286.227,119.664,161.749,167.297,245.991,67.217,46.231,98.222,61.316
"ENSG00000005243.5",2.22,1.82,2.413,7.201,5.351,1.705,1,1.289,0
"ENSG00000005249.8",579.898,276.437,450.827,212.646,33.238,174.522,90.147,66.077,141.307
"ENSG00000005302.13",0,0,30.831,5.337,0,20.458,0,0,0
"ENSG00000005339.8",369.341,168.26,308.198,279.248,319.656,66.306,55.031,61.932,28.665
"ENSG00000005379.11",163.281,136.859,107.943,169.827,83.218,9.578,17.303,4.384,16.702
"ENSG00000005381.6",0,0,0,0,0,0,0,0,0
"ENSG00000005421.4",0,0,0,0,0,0,0,0,0
"ENSG00000005436.9",152.08,100.981,118.146,140.236,71.738,34.474,47.803,144.409,28.708
"ENSG00000005448.12",614.904,505.842,517.65,512.56,632.859,87.875,115.756,500.582,244.068
"ENSG00000005469.7",163.205,155.575,132.909,187.231,183.118,22.774,39.101,95.127,39.388
"ENSG00000005471.11",6,12.884,9.652,3.287,4.696,10.591,0,0,0
"ENSG00000005483.15",721.785,692.54,685.181,587.738,878.062,142.905,178.128,156.481,71.053
"ENSG00000005486.12",59.639,52.034,56.198,94.359,48.465,9.601,11.762,51.967,13.22
"ENSG00000005513.9",17.796,2.477,32.237,51.125,22.392,2.624,2.547,19.212,2.407
"ENSG00000005700.10",196.069,304.452,163.31,239.355,305.881,148.935,97.837,32.446,31.343
"ENSG00000005801.12",63.699,22.558,33.91,30.854,21.676,9.437,10.567,21.251,3.118
"ENSG00000005810.13",1209.804,771.464,1006.644,821.202,437.184,290.073,337.96,231.729,171.399
"ENSG00000005812.6",140.634,58.939,87.017,119.105,91.499,6.451,16.48,72.539,18.003
"ENSG00000005844.13",9.527,2.185,7.197,10.724,7.527,3.991,2.097,3.051,3.039
"ENSG00000005882.7",48.31,21.081,4,4.135,70.778,26.439,8.753,27.509,29.771
"ENSG00000005884.13",203.081,149.959,79.429,79.352,59.276,56.494,48.355,28.889,14.857
"ENSG00000005889.11",410.461,404.69,343.412,1075.487,796.507,131.715,82.917,113.379,72.532
"ENSG00000005893.11",3985.072,3322.196,3708.46,5290.914,4261.779,784.665,1155.734,3586.765,636.865
"ENSG00000005961.13",0,2.002,2.066,0,0,0,0,0,0
"ENSG00000005981.8",0,1,2,0,1,0,0,0,0
"ENSG00000006007.7",1978.747,899.392,1542.896,1683.611,907.968,465.824,424.736,978.641,490.164
"ENSG00000006015.13",199.709,94.68,101.694,79.052,176.314,71.909,74.284,123.653,57.97
"ENSG00000006016.6",25.342,8.012,14.893,10.226,4,4.142,5.487,4.002,0
"ENSG00000006025.7",15.959,17.888,20.206,7.079,11.128,0,4.29,9.262,14.912
"ENSG00000006042.7",88.226,41.728,26.8,28.175,103.386,6.81,4.755,61.204,20.208
"ENSG00000006047.8",13.336,0,0,0,1.646,6.541,4.524,0,0
"ENSG00000006062.9",0,2.633,6.092,10.204,2.574,0,2.706,0,0
"ENSG00000006071.7",16.341,1,11.45,12.355,7.183,1,0,0,3.078
"ENSG00000006118.10",1478.777,1296.283,1566.056,1138.523,1103.838,349.736,226.533,290.366,295.994
"ENSG00000006125.12",291.776,166.253,243.312,201.353,133.691,60.212,58.138,91.199,67.718
"ENSG00000006128.7",134.11,134.856,64.228,163.647,33.591,26.579,15.69,35.727,132.697
"ENSG00000006194.6",495.79,301.021,332.385,448.442,398.471,116.133,107.378,165.607,86.157
"ENSG00000006210.6",108.508,70.376,99.278,101.706,77.482,12.764,23.125,37.859,35.096
"ENSG00000006282.15",5.19,0,2.613,1,2.141,1,0,0,1
"ENSG00000006283.13",59.683,77.648,53.274,48.43,95.246,10.538,9.263,8.932,10.402
"ENSG00000006327.9",87.483,18,0,54.997,21.495,9,16.036,108.845,19.777
"ENSG00000006377.9",0,0,1.16,0,0,0,0,0,2.28
"ENSG00000006432.11",109.648,20.092,50.229,37.1,144.488,14.015,21.022,29.332,34.976
"ENSG00000006451.3",974.83,285.392,629.091,636.039,235.678,213.306,142.871,434.172,219.37
"ENSG00000006453.9",3.403,2.342,1.038,1.023,3.18,0,0,2.172,0
"ENSG00000006459.6",822.834,368.675,984.346,304.271,638.451,319.305,442.279,149.999,0
"ENSG00000006468.9",90.682,26.633,164.284,113.533,19.685,28.23,9.812,17.195,3.253
"ENSG00000006530.11",145.878,98.454,137.407,89.354,106.495,22.37,28.526,42.364,22.464
"ENSG00000006534.11",2,0,1,0,0,1,0,2.231,0
"ENSG00000006555.6",0,1,0,0,0,0,0,0,2
"ENSG00000006576.12",306.04,350.095,259.986,219.895,178.395,35.063,35.452,88.76,24.005
"ENSG00000006606.4",0,0,0,0,0,0,0,0,0
"ENSG00000006607.9",1902.915,969.114,1516.179,1768.618,1148.721,397.775,496.896,1490.371,307.667
"ENSG00000006611.11",0,0,0,1.912,0,0,0,0,0
"ENSG00000006625.13",0,0,0,2.657,14.359,0,0,0,1.697
"ENSG00000006634.3",363.09,85.409,401.734,233.347,186.679,72.849,47.401,247.38,106.729
"ENSG00000006638.7",7.806,8.067,8.91,8.213,5.634,13.407,3.219,9.097,4
"ENSG00000006652.9",612.567,558.389,540.079,415.097,652.322,174.864,122.839,241.352,85.518
"ENSG00000006659.8",0,0,1,0,0,0,0,0,0
"ENSG00000006695.6",0,0,0,0,6.111,0,0,0,0
"ENSG00000006704.6",160.163,115.493,15.587,161.557,142.938,27.953,16.716,75.564,32.66
"ENSG00000006712.10",261.28,119.378,166.935,80.238,83.854,2,4.989,5.928,5.983
"ENSG00000006715.11",844.491,565.378,574.407,619.688,580.513,147.503,174.768,141.73,59.5
"ENSG00000006740.12",75.22,111.494,74.157,97.909,151.186,27.444,22.608,13.189,23.355
"ENSG00000006744.14",10.971,2.288,1.169,4.355,7.708,1.626,0,3.027,0
"ENSG00000006747.10",12.246,7.254,8.896,18.008,3.325,3.121,4.037,1,0
"ENSG00000006756.11",12.393,15.445,21.722,37.255,21.815,1.264,1.424,2.422,3.962
"ENSG00000006757.7",0,0,0,1.869,1.459,0,1.71,35.644,4.554
"ENSG00000006831.9",157.728,92.214,171.173,114.992,155.597,31.07,31.589,33.887,25.012
"ENSG00000006837.7",116.71,98.832,84.395,105.428,99.549,11.275,18.441,24.029,11.892
"ENSG00000007001.8",0,1.729,0,1,0,0,0,1.515,0
"ENSG00000007038.6",0,0,0,1,0,0,0,0,0
"ENSG00000007047.10",50.988,81.23,68.701,102.612,86.025,14.924,31.062,17.399,0
"ENSG00000007062.7",647.598,114.346,629.39,1142.367,403.907,204.836,61.367,276.895,87.298
"ENSG00000007080.6",537.761,210.877,421.621,427.275,314.57,116.693,99.164,284.612,187.884
"ENSG00000007168.8",139.065,144.919,100.74,176.294,171.146,18.554,51.892,49.401,55.8
"ENSG00000007174.13",11.079,0,9.183,25.566,20.001,15.348,2.073,1.026,0
"ENSG00000007202.10",536.317,261.581,410.911,414.704,585.395,93.119,94.533,273.856,63.395
"ENSG00000007216.10",0,0,0,0,0,0,0,0,0
"ENSG00000007237.14",1.069,1.103,1.055,0,0,0,3.258,8.779,0
"ENSG00000007255.6",8.114,6.339,16.019,17.022,38.784,0,6.562,6.343,2.771
"ENSG00000007264.9",26.587,5.256,8.571,7.124,5.504,3.572,4.33,0,8.798
"ENSG00000007306.10",0,0,0,0,0,0,0,0,0
"ENSG00000007312.8",1,0,2,1,0,0,0,2,0
"ENSG00000007314.7",0,0,0,0,1.583,2,0,0,0
"ENSG00000007341.14",121.457,73.132,86.834,56.671,39.177,17.428,27.167,60.105,28.733
"ENSG00000007350.12",32.62,33.359,726.036,155,473.792,137,66,0,0
"ENSG00000007376.3",10.325,1.361,8.673,9.616,3.334,1,0,4.873,2.001
"ENSG00000007384.11",15.886,14.32,16.497,23.128,18.655,3.436,6.065,24.687,0
"ENSG00000007392.12",277.996,353.633,298.548,244.336,249.389,43.237,72.605,77.464,18.731
"ENSG00000007402.7",16.013,24.797,7.008,14.049,114.39,5.494,0,1,15.255
"ENSG00000007516.9",1.482,0,3.819,5.68,5.988,0,0,1.306,3.175
"ENSG00000007520.3",91.118,10.117,46.241,51.385,43.035,1.496,20.229,34.233,8.606
"ENSG00000007541.10",95.712,48.706,40.776,73.509,69.959,16.022,11.884,29.577,15.582
"ENSG00000007545.11",18.6,5.207,6.112,3.192,4.335,1.066,5.246,0,0
"ENSG00000007908.11",0,0,0,0,0,0.848,0,0,0
"ENSG00000007923.11",218.455,67.748,129.403,116.175,96.244,64.047,34.739,62.072,23.942
"ENSG00000007933.8",0,0,0,0,0,2.604,0,0,0
"ENSG00000007944.10",44.198,25.81,31.761,5.326,21.119,28.892,4.27,19.304,0
"ENSG00000007952.13",0,0,1,0,0,0,0,0,0
"ENSG00000007968.6",100.899,12.835,89.035,61.178,61.314,8.968,3.327,45.004,19.68
"ENSG00000008018.8",205.555,179.667,202.754,197.958,230.196,50.768,65.589,115.752,27.505
"ENSG00000008083.9",18.276,7.04,5.815,9.215,11.652,0,5.755,2.678,0
"ENSG00000008118.5",0,0,0,0,38.4,3.885,0,6.674,0
"ENSG00000008128.18",183.491,209.405,322.769,275.976,273.204,77.249,73.948,119.261,62.525
"ENSG00000008130.11",70.016,25.622,39.609,32.738,28.665,9.186,17.287,14.373,0
"ENSG00000008196.8",0,4.227,19.616,6.585,220.489,1.06,2.409,2.915,0
"ENSG00000008197.4",0,0,0,1,0,0,0,1,0
"ENSG00000008226.15",46.665,22.872,42.988,21.715,0,12.833,7,15.07,5
"ENSG00000008256.11",16.509,6.75,13.107,8.682,13.581,1.135,0,1.152,1.969
"ENSG00000008277.10",74.472,71.104,55.672,44.375,44.29,24.603,36.068,7.527,8.886
"ENSG00000008282.3",11.402,7.17,30.827,10.44,17.645,3.098,1.428,5.846,0
"ENSG00000008283.11",2.824,2,3,2.596,8.809,1,0,3.298,5.815
"ENSG00000008294.16",8710.871,6288.021,8145.013,8095.359,9210.644,2393.592,2226.301,2115.773,1800.453
"ENSG00000008300.10",83.905,128.334,84.5,84.64,110.437,35.442,23.626,2.577,17.722
"ENSG00000008311.10",0,1.083,1.305,4.992,1.071,0,0,0,1.177
"ENSG00000008323.11",12.017,4.091,0,0,8.05,6.75,5.643,0,0
"ENSG00000008324.6",8.829,21.898,13.844,8.906,2.005,6.684,15.161,16.352,12.394
"ENSG00000008382.11",6.123,3.113,9.065,52.904,40.843,0,16.519,11.446,8.188
"ENSG00000008394.8",110.524,77.185,42.867,29.307,97.169,25.624,37.985,80.334,119.836
"ENSG00000008405.7",143.855,113.363,135.116,97.388,53.62,63.586,11.396,53.834,49.608
"ENSG00000008441.12",0,2.773,0,0,0,0,0,0,0
"ENSG00000008513.10",65.223,33.507,32.391,25.886,26.658,21.909,7.719,25.613,10
"ENSG00000008516.12",0,0,0,0,0,0,0,0,0
"ENSG00000008517.12",0,1,1,1,0,0,0,1,0
"ENSG00000008710.13",99.874,51.743,107.763,100.518,96.939,17.404,14.801,21.54,15.261
"ENSG00000008838.13",156.852,158.895,128.72,129.167,150.166,59.792,35.979,40.559,14.306
"ENSG00000008853.12",1.338,3.058,0,6.036,2.363,1,1.037,3.568,0
"ENSG00000008869.7",210.728,134.584,189.745,113.844,145.43,51.996,55.906,50.687,26.538
"ENSG00000008952.12",390.436,278.464,403.838,368.194,431.573,81.408,107.123,103.232,38.348
"ENSG00000008988.5",210.907,250.442,860.998,233.85,928.974,34.792,95.392,576.287,78.88
"ENSG00000009307.11",2348.681,919.898,2138.744,1648.725,2130.899,774.93,334.949,536.238,925.128
"ENSG00000009335.13",841.521,548.901,823.899,614.513,502.279,212.442,177.621,448.818,201.35
"ENSG00000009413.11",689.222,493.24,391.285,426.912,199.74,128.038,85.098,76.69,103.062
"ENSG00000009694.9",1836.178,2259.62,602,2684.615,899.813,716.385,643.847,487.778,489.854
"ENSG00000009709.7",330.127,427.038,576.519,181.451,190.13,50.03,39.945,0,5
"ENSG00000009724.12",6.326,2.251,4.85,1.058,0,1.079,1.068,0,1.001
"ENSG00000009765.10",0,0,1.219,0,0,0,0,1,0
"ENSG00000009780.11",65.643,41.565,44.492,67.483,42.373,8.337,13.258,31.998,30.279
"ENSG00000009790.10",2,4,1,2,0,6,0,0,0
"ENSG00000009830.7",104.054,44.291,58.601,157.174,110.162,41.201,38.431,70.56,24.478
"ENSG00000009844.11",2297.822,1409.994,1911.734,2061.92,1409.847,447.708,520.719,1472.513,530.001
"ENSG00000009950.11",2,0,0,0,2,1,0,1,0
"ENSG00000009954.6",10658.222,4992.082,8618.468,10061.519,8111.922,2878.332,1962.177,5383.778,2807.215
"ENSG00000010017.9",72.539,47.467,66.833,56.431,39.033,14.251,1.352,24.057,3.258
"ENSG00000010072.11",550.844,283.218,472.093,486.71,599.769,163.167,112.49,310.802,170.194
"ENSG00000010165.15",181.658,79.487,240.436,202.073,141.909,50.932,29.929,151.845,80.494
"ENSG00000010219.9",218.727,140.77,230.835,288.932,266.72,54.885,60.554,179.416,67.438
"ENSG00000010244.12",2443.701,1266.922,2108.766,1995.278,891.516,623.927,446.798,1245.946,445.398
"ENSG00000010256.6",0,2.031,3.053,9.212,3.139,2.035,1.007,1.023,5.08
"ENSG00000010270.9",403.479,182.175,252.676,274.993,329.646,89.885,93.277,113.228,37.569
"ENSG00000010278.7",0,0,0,1.247,26.33,1.111,0,0,0
"ENSG00000010282.10",1,0,0,1,1,0,0,0,1
"ENSG00000010292.8",200.563,110.493,130.765,125.973,159.677,42.615,10.603,87.772,45.345
"ENSG00000010295.15",0,0,0,0,0,0,0,0,0
"ENSG00000010310.4",31.697,41.182,15.036,36.402,29.307,21.322,12.845,9,2
"ENSG00000010318.15",12.112,4.628,4.657,3.123,5.938,1.134,0,0,1.095
"ENSG00000010319.2",0,0,0,0,0,0,0,0,0
"ENSG00000010322.11",1584.851,1249.877,1319.565,1453.009,945.409,345.284,269.819,493.213,224.644
"ENSG00000010327.6",0,0,0,0,0,1,1,1,1
"ENSG00000010361.9",52.829,7.52,27.63,59.064,108.137,29.711,14.381,41.21,39.568
"ENSG00000010379.11",17.737,15.578,12.825,28.444,26.125,11.574,6.542,0,2
"ENSG00000010404.13",32.889,32.866,36.295,23.942,17.329,17.015,11.889,7.788,1.078
"ENSG00000010438.12",0,0,0,1,1,0,0,0,1
"ENSG00000010539.7",525.597,330.964,426.279,447.347,386.772,150.018,104.556,316.863,108.486
"ENSG00000010610.5",0,0,0,1.614,0,0,0,2.048,0
"ENSG00000010626.10",30.685,5.845,7.779,10.873,29,1.111,1.324,3.831,10.001
"ENSG00000010671.11",1,0,4,4.919,0,1.938,3,2,0
"ENSG00000010704.14",0,3.302,1.165,0,0,0,0,1.611,1.888
"ENSG00000010803.12",91.72,55.29,74.352,48.558,50.372,14.385,23.965,18.261,6.907
"ENSG00000010810.13",400.11,372.392,593.405,714.724,843.743,126.576,137.288,95.954,43.354
"ENSG00000010818.4",18.267,12.728,5.87,28.07,11.399,5.559,0,0,0
"ENSG00000010932.11",0,0,0,1.72,0,0,0,0,0
"ENSG00000011007.8",1331.495,450.102,1279.97,1302.298,1038.727,357.513,296.074,1573.652,744.983
"ENSG00000011009.6",44.081,7.771,37.035,35.36,12.369,26.452,9.836,44.925,11.975
"ENSG00000011021.17",39.106,12.167,19.714,8.759,16.838,2.181,4.382,19.243,2.297
"ENSG00000011028.9",461.028,229.851,186.757,715.637,223.95,17.95,17.683,259.076,27.412
"ENSG00000011052.17",0,0,0,0,0,0,6.907,0,0
"ENSG00000011083.4",0,0,0,0,0,0,0,0,1
"ENSG00000011105.7",1.143,2.929,1.193,1,3.446,0,0,0,0
"ENSG00000011114.10",821.385,503.328,587.438,700.442,534.812,218.426,119.841,133.469,124.555
"ENSG00000011132.7",111.422,88.666,84.759,105.336,97.17,20.22,35.51,54.815,23.876
"ENSG00000011143.12",132.383,74.681,98.498,127.698,63.153,10.523,19.723,40.809,0
"ENSG00000011198.3",31.978,14.463,16.073,24.277,15.76,3.815,3.781,5.882,3.997
"ENSG00000011201.6",96.277,63.681,99.203,83.676,34.63,21.946,10.328,4.273,5
"ENSG00000011243.13",102.96,55.694,79.067,99.62,96.298,9.879,23.875,18.66,5.321
"ENSG00000011258.11",148.159,109.98,140.581,111.771,161.809,20.122,15.824,77.894,31.074
"ENSG00000011260.9",88.719,70.976,87.22,54.575,92.086,21.281,34.211,20.688,7.082
"ENSG00000011275.14",63.757,56.479,57.908,56.516,54.948,21.78,12.839,25.597,2.047
"ENSG00000011295.11",559.491,342.498,247.001,293.595,384.513,158.751,166.059,183.822,45.61
"ENSG00000011304.12",16.2,5.14,21.05,8.752,12.144,0,1.143,0,0
"ENSG00000011332.15",163.167,37.133,136.716,57.08,34.098,0,42.431,16.087,13.551
"ENSG00000011347.5",0,1.064,1.249,0,0,0,0,0,0
"ENSG00000011376.5",161.736,5.086,52.308,68.041,1.013,28.416,19.017,43.938,0
"ENSG00000011405.9",2125.489,1303.025,1532.531,2101.032,1766.421,531.162,386.435,1009.679,457.842
"ENSG00000011422.7",20.021,13.881,2.802,85.226,61.001,16.202,2,20.152,16.504
"ENSG00000011426.6",1123.416,316.322,947.739,923.781,913.011,288.343,148.218,1396.505,516.739
"ENSG00000011451.13",24.351,11.875,26.665,24.347,25.573,2.048,2.495,5.507,4.86
"ENSG00000011454.12",306.954,281.55,256.236,224.888,188.025,87.371,67.645,71.625,15.286
"ENSG00000011465.12",5.73,20.268,18.516,107.105,52.005,8.1,2.613,2.106,4
"ENSG00000011478.7",0,0,1.117,0,0,0,0,0,0
"ENSG00000011485.10",917.12,473.241,728.49,992.282,457.862,87.134,109.676,288.318,73.081
"ENSG00000011523.9",2350.104,1591.011,2067.173,1866.343,1433.646,484.81,531.587,497.727,19.313
"ENSG00000011566.10",490.98,392.94,408.552,336.75,325.294,137.963,110.905,190.985,49.875
"ENSG00000011590.9",0,1,0,1,0,0,0,1,0
"ENSG00000011600.7",0,0,0,0,0,0,0,0,0
"ENSG00000011638.6",31.49,25.505,36.414,33.459,46.558,15.171,22.77,50.1,7.553
"ENSG00000011677.8",0,3.497,0,10.065,2.665,3.912,0.927,0,4.333
"ENSG00000012048.15",31.552,28.629,42.52,27.285,11.181,2.863,9.162,11.12,6.253
"ENSG00000012061.11",31.632,6.242,15.645,25.368,40.765,3.219,0,22.444,3.056
"ENSG00000012124.10",6.347,0,2.081,5.312,0,1,1.001,1.127,0
"ENSG00000012171.13",0,1,0,0,0,0,1,0,0
"ENSG00000012174.7",133.874,81.915,112.048,107.628,129.35,25.762,38.582,28.108,9.165
"ENSG00000012223.8",0,0,0,1,0,0,0,1,0
"ENSG00000012232.4",330.834,161.66,286.392,226.802,244.397,57.076,55.933,79.662,35.003
"ENSG00000012504.9",0,0,0,0,0,0,0,24.081,0
"ENSG00000012660.9",299.3,123.452,182.266,204.186,211.589,75.484,76.361,109.006,36.714
"ENSG00000012779.6",1,0,0,0,0,0,0,0,0
"ENSG00000012817.11",755.443,582.702,663.753,8.666,11.039,135.56,148.934,200.868,62.265
"ENSG00000012822.11",250.175,274.881,168.254,212.645,285.002,50.973,33.012,62.671,41.453
"ENSG00000012963.9",837.914,378.431,610.066,757.831,489.811,190.428,115.734,353.312,139.144
"ENSG00000012983.7",314.599,239.363,233.108,176.865,195.037,48.296,69.36,65.353,35.3
"ENSG00000013275.3",1125.505,525.576,891.849,1093.868,1032.072,242.393,352.557,1205.538,625.424
"ENSG00000013288.4",141.656,66.077,133.273,131.582,163.604,14.087,29.845,36.263,9.409
"ENSG00000013293.5",26.533,10.553,9.595,9.731,6.63,3.687,4.768,5.595,7.583
"ENSG00000013297.6",2,5,1,1,5,4.518,4.416,2.093,1.178
"ENSG00000013306.11",9.381,10.133,8.267,3.147,5.982,2.083,5.22,3.168,1.041
"ENSG00000013364.14",90.877,80.134,77.104,61.505,59.615,44.013,41.737,46.966,8.094
"ENSG00000013374.11",118.619,130.59,67.807,147.148,141.914,30.232,23.567,51.023,13.422
"ENSG00000013375.11",126.249,105.758,110.243,110.487,196.009,32.979,27.846,57.008,13.237
"ENSG00000013441.11",764.423,650.053,605.916,575.959,904.102,159.273,152.709,244.874,93.312
"ENSG00000013503.5",277.857,114.981,175.291,237.511,199.41,65.381,60.636,127.157,80.692
"ENSG00000013523.5",73.248,31.595,38.234,54.02,44.769,14.809,13.142,10.588,3.831
"ENSG00000013561.13",0,0,0,0,0,0,0,0,0
"ENSG00000013563.9",0,0,0,0,1.213,0,0,0,0
"ENSG00000013573.12",370.099,67.675,358.457,405.002,412.421,78.752,46.723,159.226,42.654
"ENSG00000013583.4",9.85,14.652,14.044,10.318,7.888,5.478,3.379,3.232,1.208
