"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000126856.9",3.059,7.594,15.078,5.827,5.195,5.117,5.029,1.109,3
"ENSG00000126858.12",592.607,397.084,523.058,388.776,81.623,101.837,172.281,218.406,118.148
"ENSG00000126860.7",0,0,0,0,1,0,0,0,0
"ENSG00000126861.4",12.249,5.702,14.833,13.588,2,5.954,1,2,1
"ENSG00000126870.11",322.755,325.857,165.794,287.96,307.591,45.858,84.74,41.806,18.043
"ENSG00000126878.8",81.018,1,13.028,94.871,57.732,0,0,2.004,13.564
"ENSG00000126882.8",24.205,10.163,9.789,17.818,12.136,0,0,1.546,0
"ENSG00000126883.12",241.554,181.636,232.334,175.796,188.725,57.334,40.487,114.002,37.413
"ENSG00000126890.13",0,0,1,0,0,0,0,0,0
"ENSG00000126895.9",0,0,0,0,0,0,0,0,0
"ENSG00000126903.11",31.814,24.652,35.688,46.162,23.788,8.31,0,28.527,11
"ENSG00000126934.9",0,0,12.969,0,1.416,13.351,0,3.439,1.373
"ENSG00000126950.7",8.334,9.532,12.69,3.12,7.662,4.184,4.167,0,2.071
"ENSG00000126970.11",510.304,332.958,373.588,512.167,420.255,61.599,178.994,147.213,95.385
"ENSG00000127022.10",556.525,195.637,232.875,310.768,342.47,158.374,101.463,240.607,310.563
"ENSG00000127054.14",108.95,72.253,80.217,63.954,55.206,15.192,37.643,47.833,15.987
"ENSG00000127074.10",9,14,8.025,7,6,6.069,5,1,4
"ENSG00000127080.5",92.069,54.801,129.259,78.246,91.534,66.456,0,90.972,37.643
"ENSG00000127081.9",1013.03,1426.91,926.878,695.639,950.75,276.905,288.543,444.459,355.09
"ENSG00000127083.7",0,0,2,10,3,1,0,0,0
"ENSG00000127084.13",21.149,5.212,78.767,29.467,3.943,6.936,0,0,6.089
"ENSG00000127124.9",14.423,21.993,8.232,17.412,1.868,8.881,3.415,2.891,0
"ENSG00000127125.7",522.562,814.8,419.105,739.252,562.125,177.96,209.207,529.41,385.234
"ENSG00000127129.5",0,0,1,0,0,0,0,0,0
"ENSG00000127152.13",1137.827,846.693,146.756,1626.942,280.443,266.799,280.756,122.061,2041.872
"ENSG00000127184.6",490.768,246.755,507.347,306.701,389.375,185.987,191.283,566.002,243.139
"ENSG00000127191.13",12.913,8.398,22.16,9.365,17.826,0,4.834,10.555,1
"ENSG00000127220.5",0,0,1.288,0,0,0,0,0,0
"ENSG00000127241.12",86.798,265.273,62.674,253.041,164.11,21.7,55.308,14.435,2.14
"ENSG00000127249.10",6.2,20.726,8.936,4.223,6.558,0,2,0,1.647
"ENSG00000127252.4",92.704,0,0,0,52.761,12.342,18.718,37.743,46.036
"ENSG00000127311.5",358.938,202.534,367.856,165.703,173.07,91.707,64.259,80.594,17.353
"ENSG00000127314.13",580.718,409.02,343.456,475.797,400.126,23.564,146.603,293.958,101.673
"ENSG00000127324.4",0,0,1,0,0,0,1,0,0
"ENSG00000127325.14",5.388,8,7.301,1,1,1,1.064,2,2.305
"ENSG00000127328.17",573.139,407.205,707.41,553.441,475.343,221.187,131.593,182.547,79.788
"ENSG00000127329.10",0,2,1.244,2.155,12.426,0,2,1,0
"ENSG00000127334.10",327.181,166.629,320.21,257.686,403.876,32.427,34.643,139.174,21.012
"ENSG00000127337.2",21.58,10.651,19.862,33.026,291.034,11.513,4.123,17.795,55.333
"ENSG00000127362.2",55,58,36,35,50,21,13,1,5
"ENSG00000127377.4",0,0,0,0,0,0,0,0,0
"ENSG00000127399.10",4.959,4.211,3.024,0,0,0,1.312,3.493,0
"ENSG00000127412.2",0,0,0,0,0,2,0,0,0
"ENSG00000127415.8",1,0,4.007,1,0,0,0,0,0
"ENSG00000127418.10",2557.698,1500,2076.531,2234.533,1189.349,604,198,947.938,257.396
"ENSG00000127419.12",11.853,1,15.111,7.36,1,2,2,1,2
"ENSG00000127423.6",0,0,0,0,0,0,9.398,0,0
"ENSG00000127445.9",17.104,1.767,5.875,14.655,6.877,3.722,2.924,8.407,3.411
"ENSG00000127452.4",81.808,64.811,53.811,63.021,55.616,20.305,16.688,52.59,28.309
"ENSG00000127463.9",637.79,228.834,365.183,325.009,314.055,164.838,133.506,167.092,45.637
"ENSG00000127472.6",0,0,0,0,0,0,2,0,0
"ENSG00000127481.10",1692.671,1135.872,1104.562,1406.89,937.821,230.826,304.047,399.941,135.077
"ENSG00000127483.13",2415.904,1481.922,1666.014,1736.997,2167.42,569.956,396.423,745.403,300.555
"ENSG00000127507.13",0,0,1.075,0,1.001,0,0,0,0
"ENSG00000127511.5",221.01,193.624,153.941,171.097,130.744,41.574,19.263,36.579,7.059
"ENSG00000127515.1",0,0,0,0,0,0,0,0,0
"ENSG00000127526.9",333.178,178.344,272.075,223.105,158.515,73.197,71.204,145.202,57.191
"ENSG00000127527.9",94.798,72.107,76.047,67.555,66.667,18.974,11.67,35.553,4.218
"ENSG00000127528.5",0,0,0,0,0,0,0,0,0
"ENSG00000127529.7",0,0,0,0,0,0,0,0,0
"ENSG00000127530.2",0,0,0,0,0,0,0,0,0
"ENSG00000127533.3",0,0,0,0,0,0,0,0,0
"ENSG00000127540.7",14.597,17.488,3.481,19.492,7.14,2.71,8.052,13.368,3.608
"ENSG00000127554.12",187.791,84.921,158.395,192.245,149.145,59.126,49.818,175.836,99.302
"ENSG00000127561.10",16.671,20.47,6.826,10.956,4.031,2,0,4,2
"ENSG00000127564.12",52.892,8,50.803,92.267,22.084,11,8.545,38.022,7.971
"ENSG00000127578.6",11,6,10.448,9,6.276,2,0,0,0
"ENSG00000127580.11",6.044,4.173,4.179,21.304,15.413,0,0,0,0
"ENSG00000127585.7",0,0,0,0,0,0,0,0,0
"ENSG00000127586.12",104.738,0,96.704,69.162,68.765,4.669,13.702,35.041,25.464
"ENSG00000127589.4",22.902,15.116,35.808,16.445,19.111,4.478,8.548,10.621,2.131
"ENSG00000127603.19",4474.934,2870.374,3458.868,4733.126,4336.963,1158.79,1072.032,1289.693,972.583
"ENSG00000127616.13",1220.436,575.696,1080.276,711.305,197.599,150.345,141.639,245.644,153.677
"ENSG00000127663.10",67.192,54.236,92.882,60.48,80.828,26.659,14.11,47.96,12.979
"ENSG00000127720.3",106.937,93.211,131.971,131.728,128.409,60.031,20.288,53.69,32.105
"ENSG00000127743.5",0,0,1,0,0,0,0,0,0
"ENSG00000127774.6",21.016,0,31.38,42.94,37.963,0,0,36.624,11.126
"ENSG00000127780.3",0,0,1.656,0,0,0,0,0,0
"ENSG00000127804.8",21.25,16.394,12.175,19.469,2.234,6.001,1.135,2.34,4.908
"ENSG00000127824.9",0,15.963,0,0,5.858,8.291,0,5.814,10.318
"ENSG00000127831.6",3.385,4.338,18.04,10.032,80.228,3.006,0,3,0
"ENSG00000127837.5",1343.704,628.182,925.739,1171.651,1050.807,423.788,296.914,1073.995,555.368
"ENSG00000127838.9",17.332,12.702,12.68,18.805,23.474,8.988,4.265,16.374,4.384
"ENSG00000127863.11",384.9,365.567,296.994,841.459,287.848,43.164,95.029,91.701,91.95
"ENSG00000127870.12",70.595,38.903,72.398,50.883,45.301,13.589,19.609,59.232,16.843
"ENSG00000127903.12",6.68,7.521,24.369,0,0,0,2.342,2.542,2
"ENSG00000127914.12",5925.316,3563.719,4883.586,3541.888,3279.269,1400.686,1198.236,1010.922,965.856
"ENSG00000127922.5",472.083,409.518,560.206,445.812,439.677,109.622,117.106,147.083,55.64
"ENSG00000127928.8",6.067,26.638,6.416,16.173,16.403,1,0,2,0
"ENSG00000127946.12",448.6,176.958,367.899,461.897,348.004,58.974,90.486,183.91,67.741
"ENSG00000127947.11",277.813,241.865,257.209,306.825,189.091,58.516,65.604,115.569,28.785
"ENSG00000127948.9",53.064,70.436,42.141,80.849,93.917,34.905,13.95,54.001,19.793
"ENSG00000127952.12",147.408,64.695,64.311,55.43,106.797,30.953,26.9,54.594,21.211
"ENSG00000127954.8",12.613,24.674,16.172,14.44,34.294,11.994,7.002,4.102,6.127
"ENSG00000127957.12",248.786,203.864,185.999,219.627,177.396,76.08,49.804,72.818,41.695
"ENSG00000127980.11",204.112,156.373,166.576,109.63,315.254,30.843,60.765,51.618,38.809
"ENSG00000127989.9",236.746,177.385,303.225,244.362,238.258,36.263,77.048,141.419,68.217
"ENSG00000127990.11",86.697,102.61,92.233,144.329,128.111,45.325,25.764,95.375,106.889
"ENSG00000127993.10",74.195,43.553,88.734,58.648,55.197,3.731,17.996,28.608,13.768
"ENSG00000127995.12",243.046,264.889,215.181,247.336,252.434,81.572,68.811,57.114,46.995
"ENSG00000128000.11",279.415,267.151,264.313,241.385,282.327,104.399,67.489,75.644,61.146
"ENSG00000128016.4",0,0,0,0,0,0,0,0,0
